statement,answer,source
Percentage of food wasted or lost globally,0.33,Food and Agriculture Organization of the United Nations
Share of the world's agricultural land used for livestock production,0.77,Food and Agriculture Organization of the United Nations
Percentage of the global fish stocks that are overexploited,0.34,Food and Agriculture Organization of the United Nations
Share of global movie box office revenue from the United States,0.3,Motion Picture Association of America
Percentage of people who play video games that are women,0.46,Entertainment Software Association
Share of internet users worldwide who use social networks,0.49,Statista
Percentage of global GDP contributed by travel and tourism,0.10400000000000001,World Travel & Tourism Council
Share of global carbon emissions from the aviation industry,0.025,International Air Transport Association
Percentage of UNESCO World Heritage sites that are natural,0.23,UNESCO
Percentage of the world's population that is left-handed,0.1,Scientific American
Share of people who can wiggle their ears,0.22,Psychology Today
Percentage of the universe that is dark matter,0.27,NASA
Share of the world's public cloud computing market held by Amazon Web Services,0.32,Statista
Percentage of global internet users who use a mobile device to access the internet,0.9259999999999999,Statista
Percentage of the Amazon rainforest lost to deforestation as of 2020,0.17,World Wildlife Fund
Share of global electricity generated by solar power,0.03,International Energy Agency
Percentage of adults worldwide suffering from hypertension,0.311,World Health Organization
Share of the global population considered obese,0.13,World Health Organization
Percentage of global GDP generated by the information technology industry,0.05,World Bank
Share of small businesses that are owned by women globally,0.3,World Bank
Percentage of the world population living below the international poverty line of $1.90 a day,0.092,World Bank
Share of millennials (born 1981-1996) who have never been married,0.59,Pew Research Center
Share of the world population with at least some secondary education,0.66,UNESCO
Percentage of scientific research papers published with international collaboration,0.22,UNESCO
Share of global greenhouse gas emissions from animal-based food production,0.145,Food and Agriculture Organization
Percentage of the global population facing moderate to severe food insecurity,0.26,FAO
Percentage of global cinema screens that are digital,0.98,Motion Picture Association
Share of the global population that participates in eSports,0.22,Newzoo
Percentage of global travelers who consider sustainable travel a priority,0.72,Booking.com
Share of global GDP attributed to the travel and tourism sector,0.10400000000000001,World Travel & Tourism Council
Percentage of people worldwide who are naturally blonde,0.02,World Atlas
Share of adults who cannot swim,0.37,World Health Organization
Percentage of the world's data created in the last two years,0.9,IBM
Share of global population using social media,0.58,We Are Social
Percentage of global freshwater used in agriculture,0.7,Food and Agriculture Organization
Share of endangered species threatened by climate change,0.41,IUCN
Percentage of global adults who suffer from diabetes,0.085,World Health Organization
Share of the world population with access to improved sanitation facilities,0.68,United Nations
Percentage of women in managerial positions worldwide,0.29,International Labour Organization
Share of the global economy represented by the digital economy,0.155,United Nations Conference on Trade and Development
Percentage of the world's languages that are at risk of disappearing,0.21,UNESCO
Share of global population living in countries where income inequality is increasing,0.71,OECD
Share of research and development expenditure of GDP in South Korea,0.045,World Bank
Percentage of global population that has completed tertiary education,0.08,UNESCO
Share of global greenhouse gas emissions from deforestation,0.15,World Resources Institute
Percentage of the global fish stocks that are under sustainable levels of exploitation,0.66,Food and Agriculture Organization
Percentage of people globally who have attended a live sports event,0.45,Nielsen Sports
Share of global music industry revenue from streaming,0.56,IFPI
Share of tourism revenue in GDP in the Caribbean,0.4,Caribbean Tourism Organization
Percentage of adults worldwide who can't read or write,0.14,UNESCO
Share of the human body made up of water,0.6,U.S. Geological Survey
Global renewable energy's share of electricity production,0.28,Estimated from International Energy Agency
Percentage of smartphones recycled annually,0.15,Estimated from Environmental Reports
Global vaccination coverage rate for DTP3,0.85,World Health Organization
Share of global population with access to the internet at home,0.6,International Telecommunication Union
Percentage of global GDP attributed to the digital economy,0.16,United Nations Conference on Trade and Development
Share of female entrepreneurs worldwide,0.34,World Bank
Global literacy rate,0.86,UNESCO
Share of scientific research funding from private sectors,0.25,Estimated from National Science Foundations
Percentage of people globally who practice meditation regularly,0.05,Global Wellness Institute
Share of the world population that speaks more than one language,0.43,Estimated from Ethnologue
Global percentage of food lost or wasted between farm and plate,0.33,Food and Agriculture Organization
Share of adults worldwide who are lactose intolerant,0.68,Estimated from Medical Journals
Percentage of global ocean areas protected under national jurisdiction,0.07440000000000001,United Nations Environment Programme
Share of global carbon emissions from the aviation sector,0.02,International Air Transport Association
Percentage of the world population that follows soccer/football,0.43,FIFA
Share of online content consumption that is video,0.8,Cisco
Share of global GDP generated by the travel and tourism sector post-COVID-19 recovery,0.1,World Travel & Tourism Council
Percentage of tourists choosing eco-friendly accommodations,0.72,Booking.com
Share of the world's currency that is digital or 'crypto',0.1,Estimated from Financial Reports
Percentage of people who believe in extraterrestrial life,0.61,Gallup
